Round Number,Date,Location,Home Team,Away Team,Result
1,06/08/2021 21:00,Stade Louis II,AS Monaco,FC Nantes,1 - 1
1,07/08/2021 17:00,Groupama Stadium,Olympique Lyonnais,Stade Brestois 29,1 - 1
1,07/08/2021 21:00,Stade de l'Aube,ESTAC Troyes,Paris Saint-Germain,1 - 2
1,08/08/2021 13:00,Roazhon Park,Stade Rennais FC,RC Lens,1 - 1
1,08/08/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,Clermont Foot 63,0 - 2
1,08/08/2021 15:00,Allianz Riviera,OGC Nice,Stade de Reims,0 - 0
1,08/08/2021 15:00,Stade Geoffroy-Guichard,AS Saint-Étienne,FC Lorient,1 - 1
1,08/08/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,0 - 2
1,08/08/2021 17:00,Stade Saint-Symphorien,FC Metz,LOSC Lille,3 - 3
1,08/08/2021 20:45,Stade de la Mosson,Montpellier Hérault SC,Olympique de Marseille,2 - 3
2,13/08/2021 21:00,Stade du Moustoir,FC Lorient,AS Monaco,1 - 0
2,14/08/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,0 - 4
2,14/08/2021 21:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,4 - 2
2,15/08/2021 13:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,3 - 0
2,15/08/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,1 - 1
2,15/08/2021 15:00,Stade Gabriel Montpied,Clermont Foot 63,ESTAC Troyes,2 - 0
2,15/08/2021 15:00,Stade de la Beaujoire,FC Nantes,FC Metz,2 - 0
2,15/08/2021 15:00,Stade Auguste Delaune,Stade de Reims,Montpellier Hérault SC,3 - 3
2,15/08/2021 17:00,Stade Bollaert-Delelis,RC Lens,AS Saint-Étienne,2 - 2
2,15/08/2021 20:45,Orange Vélodrome,Olympique de Marseille,Girondins de Bordeaux,2 - 2
3,20/08/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,2 - 4
3,21/08/2021 17:00,Stade Louis II,AS Monaco,RC Lens,0 - 2
3,21/08/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,LOSC Lille,1 - 1
3,22/08/2021 13:00,Groupama Stadium,Olympique Lyonnais,Clermont Foot 63,3 - 3
3,22/08/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,Angers SCO,1 - 1
3,22/08/2021 15:00,Stade Saint-Symphorien,FC Metz,Stade de Reims,1 - 1
3,22/08/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,FC Lorient,3 - 1
3,22/08/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,ESTAC Troyes,1 - 1
3,22/08/2021 17:00,Roazhon Park,Stade Rennais FC,FC Nantes,1 - 0
4,27/08/2021 21:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,0 - 1
4,28/08/2021 17:00,Allianz Riviera,OGC Nice,Girondins de Bordeaux,4 - 0
4,28/08/2021 21:00,Orange Vélodrome,Olympique de Marseille,AS Saint-Étienne,3 - 1
4,29/08/2021 13:00,Stade de l'Aube,ESTAC Troyes,AS Monaco,1 - 2
4,29/08/2021 15:00,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,2 - 0
4,29/08/2021 15:00,Stade Gabriel Montpied,Clermont Foot 63,FC Metz,2 - 2
4,29/08/2021 15:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,2 - 2
4,29/08/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,3 - 1
4,29/08/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,Montpellier Hérault SC,2 - 1
