Round Number,Date,Location,Home Team,Away Team,Result
1,21/08/2020 19:00,Matmut Atlantique,Girondins de Bordeaux,FC Nantes,0 - 0
1,22/08/2020 17:00,Stade Gaston Gérard,Dijon FCO,Angers SCO,0 - 1
1,22/08/2020 21:00,Stade Pierre-Mauroy,LOSC,Stade Rennais FC,1 - 1
1,23/08/2020 13:00,Stade Louis II,AS Monaco,Stade de Reims,2 - 2
1,23/08/2020 15:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,3 - 1
1,23/08/2020 15:00,Stade des Costières,Nîmes Olympique,Stade Brestois 29,4 - 0
1,23/08/2020 17:00,Allianz Riviera,OGC Nice,RC Lens,2 - 1
2,28/08/2020 21:00,Groupama Stadium,Olympique Lyonnais,Dijon FCO,4 - 1
2,29/08/2020 17:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,2 - 1
2,29/08/2020 21:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,0 - 2
2,30/08/2020 13:00,Stade Auguste Delaune,Stade de Reims,LOSC,0 - 1
2,30/08/2020 15:00,Stade Raymond Kopa,Angers SCO,Girondins de Bordeaux,0 - 2
2,30/08/2020 15:00,Stade Saint-Symphorien,FC Metz,AS Monaco,0 - 1
2,30/08/2020 15:00,Stade de la Beaujoire,FC Nantes,Nîmes Olympique,2 - 1
2,30/08/2020 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,FC Lorient,2 - 0
2,30/08/2020 21:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,2 - 3
3,10/09/2020 21:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,1 - 0
3,11/09/2020 21:00,Matmut Atlantique,Girondins de Bordeaux,Olympique Lyonnais,0 - 0
3,12/09/2020 17:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,3 - 1
3,12/09/2020 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,RC Strasbourg Alsace,2 - 0
3,13/09/2020 13:00,Stade Pierre-Mauroy,LOSC,FC Metz,1 - 0
3,13/09/2020 15:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,1 - 0
3,13/09/2020 15:00,Stade Gaston Gérard,Dijon FCO,Stade Brestois 29,0 - 2
3,13/09/2020 15:00,Stade du Moustoir,FC Lorient,RC Lens,2 - 3
3,13/09/2020 15:00,Stade des Costières,Nîmes Olympique,Stade Rennais FC,2 - 4
3,13/09/2020 17:00,Stade Louis II,AS Monaco,FC Nantes,2 - 1
3,13/09/2020 21:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,0 - 1
4,15/09/2020 21:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,2 - 1
